gene,rna_baseMean,rna_log2FC,rna_padj
Gsk3a,2411.943561,-0.308011528,0.01578877
Erf,148.1455116,-3.19E-01,0.174293276
Cic,1488.617161,0.965504341,7.35E-09
Pafah1b3,41.36463873,0.238660453,0.501936839
Megf8,1289.524325,-0.098910741,0.574892464
Lipe,108.3194787,1.656561106,1.56E-10
Atp5sl,305.2463546,-0.143941653,0.443448592
B3gnt8,3.115546827,-0.325828977,0.483421053
Exosc5,111.1112914,0.010698915,9.73E-01
Tmem91,56.43095007,0.128744573,6.97E-01
B9d2,72.96429569,-0.816094639,9.32E-03
Ccdc97,252.0167065,-0.314317406,1.29E-01
Egln2,670.7912867,0.176977248,0.330417599
Rab4b,397.0936407,-0.754234441,5.23E-06
Snrpa,145.539922,-0.749175938,5.02E-04
Adck4,218.353938,-0.096658082,0.694072719
Numbl,403.8251341,-0.733239133,1.27E-04
Sptbn4,820.2218011,-0.657588778,4.98E-04
RGD1307554,139.7430901,-0.823828825,1.83E-04
Ttc9b,350.0342868,-0.106892755,0.611053029
Map3k10,2047.495158,1.516143477,1.49E-26
LOC100910046,338.9528648,-0.64232134,1.69E-04
Zfp780b,284.6651865,-0.526200035,0.003657631
LOC102553760,311.7359736,-0.475161971,0.015812594
Zfp780b-ps1,425.948221,-0.511391279,6.73E-03
Zfp59,635.9729677,-1.104073405,2.57E-12
Psmc4,1531.057105,-0.480016099,1.83E-04
Fcgbp,164.9805238,0.741906913,0.002163702
Fbl,266.3171238,-0.695386437,1.01E-04
Lrfn1,235.9561674,-0.35554085,0.136441864
Paf1,806.4657748,-0.531032696,2.24E-04
Med29,266.994609,-0.640394023,5.05E-04
Timm50,235.4096073,-0.070318295,7.47E-01
Selv,106.1665005,1.357949948,3.05E-08
Eid2b,5.419761144,-0.287032597,0.575788233
Eid2,159.7077867,-1.231459172,7.31E-09
Fbxo27,18.74954957,-1.500507097,1.09E-03
Fbxo17,2.768480026,-0.425382566,0.365707707
