image_id,bin,null_mean_coassoc_freq
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,0_40,0.4715603157953157
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,whole_image,0.0
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,0_40,0.0
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_008_d3.tif_d1_localizations.csv,whole_image,0.0
1hrCLTP_Tom20500_008_d3.tif_d1_localizations.csv,0_40,0.0
1hrCLTP_Tom20500_008_d3.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_008_d3.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_008_d3.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_008_d4.tif_d1_localizations.csv,whole_image,0.1399
1hrCLTP_Tom20500_008_d4.tif_d1_localizations.csv,0_40,0.1399
1hrCLTP_Tom20500_008_d4.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_008_d4.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_008_d4.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_008_d5.tif_d1_localizations.csv,whole_image,0.0
1hrCLTP_Tom20500_008_d5.tif_d1_localizations.csv,0_40,0.0
1hrCLTP_Tom20500_008_d5.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_008_d5.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_008_d5.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_011_d1.tif_d1_localizations.csv,whole_image,0.0
1hrCLTP_Tom20500_011_d1.tif_d1_localizations.csv,0_40,0.0
1hrCLTP_Tom20500_011_d1.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_011_d1.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_011_d1.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_011_d2.tif_d1_localizations.csv,whole_image,0.0
1hrCLTP_Tom20500_011_d2.tif_d1_localizations.csv,0_40,0.0
1hrCLTP_Tom20500_011_d2.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_011_d2.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_011_d2.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_011_d3.tif_d1_localizations.csv,whole_image,0.0
1hrCLTP_Tom20500_011_d3.tif_d1_localizations.csv,0_40,0.0
1hrCLTP_Tom20500_011_d3.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_011_d3.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_011_d3.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20600_012_d1.tif_d1_localizations.csv,whole_image,0.23596666666666666
1hrCLTP_Tom20600_012_d1.tif_d1_localizations.csv,0_40,0.23596666666666666
1hrCLTP_Tom20600_012_d1.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20600_012_d1.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20600_012_d1.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20600_012_d2.tif_d1_localizations.csv,whole_image,0.23327058823529415
1hrCLTP_Tom20600_012_d2.tif_d1_localizations.csv,0_40,0.23327058823529415
1hrCLTP_Tom20600_012_d2.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20600_012_d2.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20600_012_d2.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20600_012_d3.tif_d1_localizations.csv,whole_image,0.2266
1hrCLTP_Tom20600_012_d3.tif_d1_localizations.csv,0_40,0.2266
1hrCLTP_Tom20600_012_d3.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20600_012_d3.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20600_012_d3.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20600_012_d4.tif_d1_localizations.csv,whole_image,0.2863388888888889
1hrCLTP_Tom20600_012_d4.tif_d1_localizations.csv,0_40,0.30281843201754693
1hrCLTP_Tom20600_012_d4.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20600_012_d4.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20600_012_d4.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20600_012_d5.tif_d1_localizations.csv,whole_image,0.3856222222222222
1hrCLTP_Tom20600_012_d5.tif_d1_localizations.csv,0_40,0.3856222222222222
1hrCLTP_Tom20600_012_d5.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20600_012_d5.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20600_012_d5.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20600_013_d1.tif_d1_localizations.csv,whole_image,0.08438545454545454
1hrCLTP_Tom20600_013_d1.tif_d1_localizations.csv,0_40,0.1040649889869549
1hrCLTP_Tom20600_013_d1.tif_d1_localizations.csv,40_80,0.06875935958835482
1hrCLTP_Tom20600_013_d1.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20600_013_d1.tif_d1_localizations.csv,120_160,0.0
