image_id,bin,actin_n,arc_n,total_puncta,actin_assoc_n,arc_assoc_n,total_assoc_puncta,pair_count,coassoc_freq
1hrCLTP_Tom20600_013_d1.tif_d1_localizations.csv,40_80,49,6,55,3,3,6,3,0.10909090909090909
1hrCLTP_Tom20600_013_d1.tif_d1_localizations.csv,80_120,10,3,13,0,0,0,0,0.0
1hrCLTP_Tom20600_013_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_013_d2.tif_d1_localizations.csv,whole_image,14,8,22,3,3,6,3,0.2727272727272727
1hrCLTP_Tom20600_013_d2.tif_d1_localizations.csv,0_40,14,8,22,3,3,6,3,0.2727272727272727
1hrCLTP_Tom20600_013_d2.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_013_d2.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_013_d2.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_013_d3.tif_d1_localizations.csv,whole_image,144,41,185,13,13,26,13,0.14054054054054055
1hrCLTP_Tom20600_013_d3.tif_d1_localizations.csv,0_40,90,28,118,11,11,22,11,0.1864406779661017
1hrCLTP_Tom20600_013_d3.tif_d1_localizations.csv,40_80,45,11,56,2,2,4,2,0.07142857142857142
1hrCLTP_Tom20600_013_d3.tif_d1_localizations.csv,80_120,9,2,11,0,0,0,0,0.0
1hrCLTP_Tom20600_013_d3.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_014_d1.tif_d1_localizations.csv,whole_image,18,13,31,1,1,2,1,0.06451612903225806
1hrCLTP_Tom20600_014_d1.tif_d1_localizations.csv,0_40,14,11,25,1,1,2,1,0.08
1hrCLTP_Tom20600_014_d1.tif_d1_localizations.csv,40_80,4,2,6,0,0,0,0,0.0
1hrCLTP_Tom20600_014_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
