Source File,X (um),Y (um),Z (um)
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,87.39108225,5.689889,0.2555705
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,99.55571775,3.78177475,0.26420275
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,108.9717288,3.9567955,0.1677215
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,108.9958733,3.960515,0.46097075
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,0.7480065,2.27518375,0.19069425
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,0.75702575,2.3071865,0.61452375
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,0.4728925,1.72710575,0.1725375
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,1.5555465,2.76359925,0.13591225
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,0.621178,1.3104465,0.41528325
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,0.9015165,0.6560725,0.02176875
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,0.8684495,0.60310725,0.814119
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,36.30331975,2.79068925,0.28897075
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,40.13160975,2.7624705,0.1643675
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,40.159592,2.7562785,0.2377685
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,42.3121075,3.07085575,0.135407
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,51.51818175,3.03740175,0.27658675
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,62.428389,2.364871,0.14107225
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,62.70316975,5.59344,0.7324835
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,65.87583875,3.2380075,0.26400925
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,68.6422975,1.4198815,0.33246525
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,0.66689775,3.632941,0.71606825
