Source File,X (um),Y (um)
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,2.8697955,1.607151
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,0.2412865,3.2071845
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,12.5791835,3.3835165
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,1.264276,3.5357205
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,14.13022,1.4189435
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,15.4053965,1.849666
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,24.7087425,2.262689
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,0.148577,2.1119475
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,1.865266,1.767675
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,16.391843,1.915485
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,0.1414855,3.2158425
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,36.3433525,1.6079375
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,16.7507015,2.0213245
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,44.7124795,2.086695
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,28.181764,2.1745555
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,38.56476,2.6316225
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,40.8829915,2.6412165
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,26.1816425,2.6972075
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,47.5346885,1.33952
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,0.6600035,1.571349
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,110.9077125,1.89046
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,35.7487585,1.9373705
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,3.9325195,2.06141
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,74.0792975,2.133677
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,38.4771465,2.2089275
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,55.5088625,2.3014485
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,58.0327735,2.4164465
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,155.586795,2.429011
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,12.600861,2.863003
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,69.177823,2.9584815
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,45.1583795,3.0602
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,81.036956,0.461747
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,5.5241095,1.225315
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,9.9855665,1.331044
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,35.233679,1.9580145
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,11.259261,2.582684
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,19.1960925,2.630264
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,15.8033785,2.836574
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,69.697589,3.0545775
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,0.38233,3.1469555
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,0.558194,3.389724
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,45.6366235,3.5531145
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,4.5312215,1.5105415
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,63.945856,1.647542
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,18.3212835,1.952977
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,94.422796,2.21338
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,2.907047,3.2337435
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,1.260285,0.7119255
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,56.2570775,1.18586
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,41.704663,2.0748195
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,96.9865195,2.0751055
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,0.5701215,2.8095015
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,4.993443,2.604511
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,3.5512295,1.99862
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,2.0736105,2.599571
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,2.460224,1.752543
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,1.8253885,0.8440315
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,0.7227805,1.3066625
C2-1hrCLTPBIP_003_d2.tif_d1_localizations.csv,0.571259,0.8283925
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,48.3124785,1.137396
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,15.418078,1.3853645
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,4.9462075,1.9097325
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,28.032043,1.9407635
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,39.9967425,3.6075065
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,14.6967925,0.5688735
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,12.4176585,0.779103
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,18.4998905,1.404312
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,22.54928,1.488214
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,5.8188715,1.1219845
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,3.8811825,1.345409
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,20.9201005,1.3482755
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,21.6100105,1.8305365
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,26.09685,2.449434
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,3.3171385,1.055327
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,7.470424,1.8597085
C2-1hrCLTPBIP_005_d1.tif_d1_localizations.csv,4.5968325,2.304016
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,38.4555795,1.8281575
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,43.503746,2.2297405
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,15.899663,3.0494035
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,2.121678,1.2490855
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,1.8829785,2.269007
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,7.1573255,2.3172045
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,41.898415,0.2699125
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,31.682443,2.198989
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,42.6868195,1.754662
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,6.0272875,1.887756
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,7.918404,1.4227915
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,0.498901,1.632098
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,21.106033,2.2826505
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,1.0912785,1.431495
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,5.443581,1.649778
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,9.65315,1.915342
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,6.8396705,2.758574
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,0.941993,3.574298
C2-1hrCLTPBIP_005_d2.tif_d1_localizations.csv,2.0126405,0.97903
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,7.5430355,3.284684
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,58.8836755,0.2627365
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,20.0722015,2.3623405
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,103.6977565,2.617069
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,60.001292,2.7460615
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,20.7530375,2.855372
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,79.3093535,2.921373
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,21.189337,3.2262685
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,110.550622,3.906851
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,60.333494,1.8840575
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,22.403238,2.207088
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,72.4833395,2.302001
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,98.412925,2.5709255
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,21.4987435,1.6075475
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,42.6974015,2.2986795
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,25.145848,2.4264435
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,20.711197,2.494986
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,22.1773435,2.644668
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,51.301861,2.806219
C2-1hrCLTPBIP_008_d1.tif_d1_localizations.csv,88.92455,1.9462755
