"logFC","AveExpr","t","P.Value","adj.P.Val","B","PG.UniprotIds","PG.ProteinNames","PG.Genes"
-0.0580286304952864,20.5142507864443,-0.056420168659031,0.956567675354615,0.98342849449533,-5.86751879180404,"Q9D1R9","RL34_MOUSE","Rpl34"
1.44619053124483,20.8890794859303,1.83286342774013,0.109042026324879,0.432804005754139,-4.4477291051747,"P19157","GSTP1_MOUSE","Gstp1"
-0.157804904070606,20.93253733315,-0.175789917396415,0.865385486846642,0.957865279230915,-5.85297533710866,"P61027","RAB10_MOUSE","Rab10"
0.794303902988208,19.7814827726522,0.926202780798258,0.384850272276174,0.729421258205651,-5.44523197841202,"Q68FD5","CLH1_MOUSE","Cltc"
0.357028175241044,19.0203108111639,0.350059917731386,0.736485216338252,0.926306964407537,-5.80532607936962,"Q9CQ69","QCR8_MOUSE","Uqcrq"
-2.08470776678542,17.3444319686835,-0.707258373469018,0.502034059446061,0.80779632182274,-5.61563972971352,"P17047","LAMP2_MOUSE","Lamp2"
-1.71378427936195,16.5724338451971,-0.83682392426675,0.430051136215122,0.756259633634123,-5.51926544552163,"Q8BFR4","GNS_MOUSE","Gns"
-2.18791898391612,18.5786226950525,-1.542137831016,0.166500601999107,0.523135981192913,-4.80398481451358,"Q61316","HSP74_MOUSE","Hspa4"
0.322234967412648,19.0441907315145,0.295204547711025,0.776314080033113,0.931855407788797,-5.82365275168253,"Q9R0P3","ESTD_MOUSE","Esd"
-1.18520143917189,16.37742926821,-0.846773485023129,0.424838386063585,0.753163692383761,-5.51131836070837,"Q6PDQ2","CHD4_MOUSE","Chd4"
-3.01984361803797,18.5759278415469,-1.87298318889064,0.102784746049404,0.42023548836224,-4.39700183112395,"P26041","MOES_MOUSE","Msn"
3.68242468799641,19.7689687400689,3.01860072236908,0.0191818848691663,0.1501076326441,-2.91527132352529,"Q8BL97","SRSF7_MOUSE","Srsf7"
0.0434529845575149,24.4839463260006,0.0495369559766456,0.96186109468851,0.98342849449533,-5.86790228117342,"P05213","TBA1B_MOUSE","Tuba1b"
-0.151682080136098,19.5019894177373,-0.101288549780439,0.9221326517791,0.974105309541726,-5.86380027341439,"Q8R191","SNG3_MOUSE","Syngr3"
0.337871457236844,23.0230767515585,0.394771862852297,0.70464392044499,0.913875905389898,-5.78817187727935,"P08249","MDHM_MOUSE","Mdh2"
0.784477187075446,20.3144477497464,0.979698056726199,0.359544934263755,0.711297956668323,-5.39817702671289,"Q99L04","DHRS1_MOUSE","Dhrs1"
-0.332008542189946,21.6618614950146,-0.315208912683329,0.761698267013333,0.930221396660055,-5.81731941976049,"P11798","KCC2A_MOUSE","Camk2a"
-1.45029088295106,17.3240450901265,-0.838562511934777,0.429136994034742,0.755827490819812,-5.51788220928061,"P31648","SC6A1_MOUSE","Slc6a1"
0.607643152626011,20.9484044865008,0.32407465187328,0.755253401843997,0.930221396660055,-5.81438374761455,"Q9JMG7","HDGR3_MOUSE","Hdgfl3"
-0.727715008775007,20.6259883010554,-0.702318525496406,0.504927231923419,0.809183837149838,-5.61904356561999,"F6YVP7;P62270","F6YVP7_MOUSE;RS18_MOUSE","Rps18-ps6;Rps18"
0.611181292708103,25.3773339594101,0.733947660308815,0.486589303805265,0.799438467794577,-5.59689752163369,"P63260","ACTG_MOUSE","Actg1"
-1.39284187590325,18.7257692149581,-0.658042414836592,0.531334672528913,0.824956093279496,-5.64862944494083,"P61164","ACTZ_MOUSE","Actr1a"
1.37273646213201,19.4551637422666,1.39001127269154,0.206696091436849,0.580065366011923,-4.97968657212033,"O55100","SNG1_MOUSE","Syngr1"
-0.564192509880208,20.1998983353985,-0.651407035661479,0.535365178795191,0.828371010578264,-5.65291856057469,"Q9D0K2","SCOT1_MOUSE","Oxct1"
0.611180154859976,15.62957466218,0.303395652339529,0.770317270662649,0.931855407788797,-5.82110825665443,"Q80SY5","PR38B_MOUSE","Prpf38b"
-0.24057653574398,20.0533039196311,-0.296042855005589,0.775699586126534,0.931855407788797,-5.82339545217887,"Q8CCK0","H2AW_MOUSE","Macroh2a2"
1.08069268041191,19.4495101933437,1.28286507530379,0.239970307916063,0.605931282620935,-5.09760849903431,"O09061","PSB1_MOUSE","Psmb1"
-3.77784750978764,16.8782236184269,-2.23552058101119,0.060084764030514,0.310880129737101,-3.92887601264392,"Q08642","PADI2_MOUSE","Padi2"
0.0135812693766439,17.3727751292014,0.0156373541264973,0.987955614476702,0.996459536221565,-5.8690642654704,"P55264","ADK_MOUSE","Adk"
0.687059482402113,20.0108519018318,0.753274524958903,0.475603130335857,0.787836999238736,-5.58295901076034,"Q8QZT1","THIL_MOUSE","Acat1"
-0.55058174555807,18.3163278256511,-0.523649000628378,0.616522510383338,0.876228742486435,-5.72788671657034,"P13020","GELS_MOUSE","Gsn"
0.382380222715078,20.763906856521,0.400280122276415,0.700763127188184,0.913875905389898,-5.78592243639797,"P53026","RL10A_MOUSE","Rpl10a"
-1.51356863415682,18.4399234495566,-0.857242533748133,0.419402392366061,0.750946958231596,-5.50287529565339,"Q91VE6","MK67I_MOUSE","Nifk"
2.17299982016753,20.1226902810982,2.47696267796964,0.0420516698061301,0.250799180400633,-3.61310239822449,"P12658","CALB1_MOUSE","Calb1"
0.0980110495768542,20.933014579768,0.126237712963654,0.903056960530394,0.972898575109002,-5.86082011196595,"Q9CWS0","DDAH1_MOUSE","Ddah1"
0.548927552888504,25.6242974146334,0.536970661250253,0.607755595675853,0.871597657729517,-5.72076058193399,"C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2","H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1G_MOUSE;H2A1I_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A3_MOUSE;H2A1F_MOUSE;H2A1H_MOUSE;H2A1K_MOUSE;H2AJ_MOUSE","H2ac4;H2ac6;H2ac7;H2ac8;H2ac11;H2ac13;Hist1h2an;Hist1h2ao;Hist1h2ap;H2ac25;Hist1h2af;H2ac12;H2ac15;H2aj"
