"logFC","AveExpr","t","P.Value","adj.P.Val","B","PG.UniprotIds","PG.ProteinNames","PG.Genes","label_filtered"
-0.105957044062704,15.3222175089127,-0.0692358646266169,0.946718443856115,0.970620830535901,-5.8666721881968,"P16330","CN37_MOUSE","Cnp","Cnp"
-0.696326945610405,19.633649701401,-0.502911886085481,0.630303321163764,0.804333258012951,-5.73865139057367,"P52760","RIDA_MOUSE","Rida","Rida"
-0.268406216739969,19.557701306038,-0.269115660204214,0.795521236054107,0.896088487430851,-5.83130424123311,"P57746","VATD_MOUSE","Atp6v1d","Atp6v1d"
-0.357777528192088,20.6966907591022,-0.384808928763794,0.711687109940806,0.851530003373047,-5.79216494857462,"P27546","MAP4_MOUSE","Map4","Map4"
0.808293461335214,20.3521139688655,0.915178360179523,0.390227664789224,0.655424543221023,-5.45467937291559,"Q9D8N0","EF1G_MOUSE","Eef1g","Eef1g"
0.21345726917032,18.9072662552609,0.232192717835246,0.822962856725235,0.914644030976087,-5.84094821124413,"P47955","RLA1_MOUSE","Rplp1","Rplp1"
-3.5224384190735,18.8397986836281,-1.264105842172,0.246250514885038,0.572760270851232,-5.1176943653399,"P13595","NCAM1_MOUSE","Ncam1","Ncam1"
-0.153749548301274,20.3850132684682,-0.155619013937028,0.880681095406774,0.940943075337745,-5.85647710269092,"O08599","STXB1_MOUSE","Stxbp1","Stxbp1"
-0.49449580802105,23.0557870405424,-0.439263555145478,0.673576121612832,0.824685700216817,-5.76915807091907,"Q9CR57","RL14_MOUSE","Rpl14","Rpl14"
4.20250901515621,20.5824645563873,3.49929753365526,0.00983527909986563,0.119462658334953,-2.32603741585223,"P56959","FUS_MOUSE","Fus","Fus"
-0.0498884840325857,16.2210260372844,-0.0213990373184509,0.983518452551438,0.99198418100378,-5.86895201884018,"Q8BYI9","TENR_MOUSE","Tnr","Tnr"
-0.53231956212557,15.4121396407324,-0.364577544398288,0.726081896418456,0.861719926695216,-5.79997285841819,"O54965","RNF13_MOUSE","Rnf13","Rnf13"
-1.49611664513356,16.8223355827664,-0.642333996064275,0.540906800788286,0.751865101498299,-5.65872157851572,"P55066","NCAN_MOUSE","Ncan","Ncan"
0.496370440613983,19.3255234595339,0.605512817839599,0.56375263097793,0.761490411808668,-5.68153167377047,"Q8BVI4","DHPR_MOUSE","Qdpr","Qdpr"
-0.0828228141475869,22.6665557852469,-0.0919232613428082,0.929308106355418,0.962152675602906,-5.86475077860132,"P62852","RS25_MOUSE","Rps25","Rps25"
-1.50434231111311,20.8822122179707,-1.36200454474125,0.214977452464982,0.551139105933391,-5.01101383913872,"P62911","RL32_MOUSE","Rpl32","Rpl32"
-6.33417278144922,17.1953495479611,-3.70681597780261,0.00744542994375265,0.103858206642853,-2.08343036363871,"Q9D937","CK098_MOUSE","NaN","NaN"
1.38993492941583,20.5074074893778,1.09052998714702,0.311226921920074,0.60960081461631,-5.29461800490112,"Q02257","PLAK_MOUSE","Jup","Jup"
-0.860030138572153,16.648450314213,-0.384122935893952,0.712173185551956,0.851530003373047,-5.79243630199868,"Q8BLK3","LSAMP_MOUSE","Lsamp","Lsamp"
2.13878927379214,19.4892222621514,2.4764866912554,0.0420811475893797,0.287074130130289,-3.61372446552111,"P49722","PSA2_MOUSE","Psma2","Psma2"
0.49762846190653,16.1414145520401,0.287155484460742,0.782222849203739,0.891411851037671,-5.82608704553139,"Q9JKR6","HYOU1_MOUSE","Hyou1","Hyou1"
2.49916397135671,19.6745687424298,2.56987669082712,0.0366861269045253,0.261551929542106,-3.4918338331735,"Q9D819","IPYR_MOUSE","Ppa1","Ppa1"
2.82143019774369,19.9407618994431,1.76249100116527,0.120913635510971,0.459526972418313,-4.53592902292535,"P62996","TRA2B_MOUSE","Tra2b","Tra2b"
0.643918365040058,23.3314240269161,0.747645056767481,0.478785888074532,0.716022138922273,-5.58705046370055,"P05064","ALDOA_MOUSE","Aldoa","Aldoa"
1.15776620074538,21.8128956501865,1.40858506486655,0.201361023507426,0.541900435704023,-4.95872464977077,"P62827","RAN_MOUSE","Ran","Ran"
