"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046034","BP","GO:0046034","ATP metabolic process","34/691","103/7719",5.35323362719572e-12,6.20573608232663e-10,6.14917494281824e-10,"Ndufb1/Ndufa11/Atp5mf/Ndufa2/Ndufa3/Atp5mg/Atp5pd/Nudt5/Ndufc1/Ndufb4/ND3/Ndufc2/Ndufb9/Ndufb2/Ndufb6/Fis1/Ndufb11/Ndufb5/Ndufs6/Ndufa12/Ndufv3/Ndufa6/Ndufa8/Atp5if1/Atp5pf/Ndufa1/Atp5mc1/Ndufa7/Ndufb7/Ndufb8/Sdhb/Ndufb10/Ndufa13/Atp5pb",34
"GO:0033108","BP","GO:0033108","mitochondrial respiratory chain complex assembly","31/691","89/7719",9.58543701822196e-12,1.05827789174989e-09,1.04863239560248e-09,"Ndufb1/Ndufa11/Pet100/Ndufa2/Ndufaf8/Ndufa3/Uqcc2/Ndufc1/Ndufb4/Ndufc2/Ndufb9/Ndufb2/Oxa1l/Ndufb6/Cox19/Fastkd3/Ndufb4c/Ndufb11/Ndufb5/Ndufs6/Ndufa12/Slc25a33/Ndufa6/Tmem223/Ndufa8/Ndufa1/Ndufb7/Ndufb8/Cox14/Ndufb10/Ndufa13",31
"GO:0042274","BP","GO:0042274","ribosomal small subunit biogenesis","28/691","77/7719",3.00811961095864e-11,2.96779800766281e-09,2.94074851104915e-09,"Rpp40/Rps27/Rps14/Rps27rt/Rpl38/Rps17/Rps12/Rps15/Rps15a/Ngdn/Rpsa/Rps19/Rps21/Rps25/Rps23/Rps7/Fau/Fcf1/Rps16/Gtf2h5/Rps8/Rps24/Rps28/Rps27l/Snu13/Rps11/Rps5/Rps9",28
"GO:0046390","BP","GO:0046390","ribose phosphate biosynthetic process","39/691","153/7719",9.69998927898101e-10,7.75497418735085e-08,7.68429277726899e-08,"Nme2/Ndufb1/Acsl5/Ndufa11/Atp5mf/Ndufa2/Mpc1/Ndufa3/Atp5mg/Atp5pd/Ndufc1/Ndufb4/ND3/Ndufc2/Ndufb9/Ndufb2/Nppc/Ndufb6/Ndufb11/Ndufb5/Ndufs6/Ndufa12/Ndufv3/Ndufa6/Gmpr/Ndufa8/Pank2/Atp5pf/Ndufa1/Atp5mc1/Ndufa7/Mpc2/Ndufb7/Ndufb8/Sdhb/Ndufb10/Ndufa13/Atp5pb/Nme1",39
"GO:0000028","BP","GO:0000028","ribosomal small subunit assembly","11/691","18/7719",4.85563501965452e-08,3.41145145244515e-06,3.3803583510035e-06,"Rps27/Rps14/Rpl38/Rps15/Rpsa/Rps19/Rps25/Fau/Rps28/Rps27l/Rps5",11
"GO:0042255","BP","GO:0042255","ribosome assembly","16/691","46/7719",1.09653426901326e-06,7.06198528529788e-05,6.99762000620303e-05,"Rps27/Mrpl20/Rps14/Rpl38/Rps15/Rpsa/Rps19/Rps25/Fau/Rpl11/Rps28/Rps27l/Rpl24/Rpl23a/Rps5/Rplp0",16
"GO:0071826","BP","GO:0071826","protein-RNA complex organization","29/691","136/7719",7.25964667378416e-06,0.000428814628246227,0.000424906269319951,"Dnajc17/Pih1d2/Rps27/Mrpl20/Rps14/Rpl38/Srpk1/Rps15/Rpsa/Rps19/Rps25/Taf9/Mcts1/Fau/Snrpe/Snrpd2/Rpl11/Srsf6/Lsm4/Rps28/Rps27l/Snu13/Rpl13a/Rpl24/Rpl23a/Rps5/Rplp0/Snrpb/Nudt21",29
"GO:0006364","BP","GO:0006364","rRNA processing","30/691","147/7719",1.27335805797969e-05,0.00073807016435648,0.000731343147773864,"Pih1d2/Ddx51/Rpp40/Rpl26/Rpp38/Rps27/Rpl7a/Rps27rt/Rps17/Rps15/Ngdn/Rpl35/Pop7/Rps19/Rpl14/Rps21/Rpl27/Rps25/Rps7/C1d/Fcf1/Exosc4/Rps16/Rpl11/Gtf2h5/Rps8/Nop10/Rps24/Rps28/Snu13",30
"GO:0016072","BP","GO:0016072","rRNA metabolic process","31/691","160/7719",2.71149883542096e-05,0.00155155828940907,0.00153741687190461,"Pih1d2/Ddx51/Rpp40/Rpl26/Rpp38/Rps27/Rpl7a/Rps27rt/Rps17/Rps15/Ngdn/Rpl35/Pop7/Rps19/Rpl14/Rps21/Rpl27/Rps25/Rps7/C1d/Dedd/Fcf1/Exosc4/Rps16/Rpl11/Gtf2h5/Rps8/Nop10/Rps24/Rps28/Snu13",31
"GO:0007005","BP","GO:0007005","mitochondrion organization","60/691","398/7719",3.1447976207582e-05,0.00173600316279235,0.00172018065345984,"Ucp2/Nrf1/Ndufb1/Naif1/Tmem14a/Ndufa11/Chchd2/Bcl2l11/Pet100/Ndufa2/Ndufaf8/Ndufa3/Uqcc2/Tomm7/Rab29/Ndufc1/Ndufb4/Ndufc2/Cck/Ndufb9/Ndufb2/Tomm5/Oxa1l/Them4/Ndufb6/Cox19/Fis1/Fastkd3/Ndufb4c/Sh3glb1/Romo1/Maip1/Immp1l/Timm13/Ndufb11/Ndufb5/Fxn/Ndufs6/Gpx1/Ndufa12/Cox7a2/Micos13/Slc25a33/Ndufa6/Tmem223/Ndufa8/Arfip2/Pank2/Atp5if1/Ndufa1/Slirp/Ndufb7/Ndufb8/Timm17a/Dynll1/Cox14/Ndufb10/Ndufa13/Park7/Gabarap",60
"GO:0061844","BP","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","8/691","17/7719",4.63259784300023e-05,0.00248981626318719,0.00246712325092496,"Cxcl1/Vip/Rps19/Rpl39/Romo1/Fau/Rpl30/Cxcl14",8
"GO:0006959","BP","GO:0006959","humoral immune response","13/691","42/7719",4.67142581188885e-05,0.00248981626318719,0.00246712325092496,"Cxcl1/Rgcc/Vip/A2m/Rps19/Rpl39/Foxj1/Romo1/Fau/Rarres2/Serping1/Rpl30/Cxcl14",13
"GO:1901798","BP","GO:1901798","positive regulation of signal transduction by p53 class mediator","9/691","23/7719",9.06224628416006e-05,0.00456756913257067,0.00452593879065889,"Rpl26/Rps15/Rps7/Sh3glb1/Rpl11/Rpl37/Rps20/Eef1e1/Ubb",9
"GO:1901137","BP","GO:1901137","carbohydrate derivative biosynthetic process","53/691","357/7719",0.000138145829750412,0.00660394033559445,0.00654374983028269,"Qng1/Nme2/Ndufb1/Acsl5/Ndufa11/Atp5mf/Tmem165/Chsy1/Ndufa2/Mpc1/St8sia2/Ndufa3/Alg5/Atp5mg/Atp5pd/Dpm3/Ndufc1/Ndufb4/ND3/Pigp/Ndufc2/Ndufb9/Ndufb2/Nppc/Ndufb6/Dpm2/Ndufb11/Ndufb5/Ndufs6/Ndufa12/Ost4/Ramp1/Ndufv3/Pyurf/Ndufa6/Gmpr/Dad1/Ndufa8/Pank2/Krtcap2/Atp5pf/Ndufa1/Atp5mc1/Ndufa7/Mpc2/Ndufb7/Ndufb8/Sdhb/Ndufb10/Ndufa13/Atp5pb/Nme1/Itm2b",53
"GO:0031640","BP","GO:0031640","killing of cells of another organism","7/691","19/7719",0.000862567563727509,0.0336111411176845,0.0333047980156619,"Cxcl1/Bcl2l11/Lyz2/Rps19/Romo1/Rpl30/Cxcl14",7
"GO:0141061","BP","GO:0141061","disruption of cell in another organism","7/691","19/7719",0.000862567563727509,0.0336111411176845,0.0333047980156619,"Cxcl1/Bcl2l11/Lyz2/Rps19/Romo1/Rpl30/Cxcl14",7
"GO:0051341","BP","GO:0051341","regulation of oxidoreductase activity","10/691","37/7719",0.00115573192205805,0.0439272862506819,0.0435269183760431,"Pik3cb/Etfbkmt/Mt3/S100a1/Oxa1l/Ndufa4/Fxn/Cyba/Apoe/Park7",10
"GO:0141060","BP","GO:0141060","disruption of anatomical structure in another organism","7/691","20/7719",0.00122569254734161,0.0462076125367729,0.0457864610110924,"Cxcl1/Bcl2l11/Lyz2/Rps19/Romo1/Rpl30/Cxcl14",7
"GO:0140053","BP","GO:0140053","mitochondrial gene expression","22/691","125/7719",0.00149875177537148,0.0551564443047426,0.054653730154524,"Mrpl23/Mrpl20/Uqcc2/Mrps33/Mrps28/Mrpl52/Mrpl42/Mrpl27/Mrps14/Fastkd3/Chchd1/Mrpl53/Mrpl28/Malsu1/Mrps18a/Slc25a33/Mrps21/Mrpl41/Mrps24/Aurkaip1/Mrpl32/Ndufa7",22
