image_id,bin,cbc_mean_score,cbc_positive_fraction,n_points
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,whole_image,0.3748332396310891,0.4827586206896552,29
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,0_30,0.4875812984450038,0.6190476190476191,21
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,30_60,0.07886958524456299,0.125,8
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,60_90,0.0,0.0,0
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,whole_image,0.0,0.0,6
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,0_30,0.0,0.0,4
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,30_60,0.0,0.0,2
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,60_90,0.0,0.0,0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,whole_image,0.0,0.0,11
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,0_30,0.0,0.0,5
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,30_60,0.0,0.0,6
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,60_90,0.0,0.0,0
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,whole_image,0.38577888012270556,0.42857142857142855,14
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,0_30,0.5400904321717878,0.6,10
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,30_60,0.0,0.0,2
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,60_90,0.0,0.0,2
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,whole_image,0.0,0.0,11
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,0_30,0.0,0.0,9
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,30_60,0.0,0.0,2
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,60_90,0.0,0.0,0
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,90_120,0.0,0.0,0
