image_id,bin,actin_n,arc_n,total_puncta,actin_assoc_n,arc_assoc_n,total_assoc_puncta,pair_count,coassoc_freq
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,0_30,52,12,64,5,5,10,5,0.15625
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,30_60,17,1,18,0,0,0,0,0.0
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,60_90,2,0,2,0,0,0,0,0.0
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,whole_image,28,12,40,11,11,22,11,0.55
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,0_30,26,12,38,11,11,22,11,0.5789473684210527
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,30_60,2,0,2,0,0,0,0,0.0
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,whole_image,4,2,6,0,0,0,0,0.0
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,0_30,2,0,2,0,0,0,0,0.0
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,30_60,2,2,4,0,0,0,0,0.0
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,whole_image,22,23,45,2,2,4,2,0.08888888888888889
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,0_30,19,20,39,2,2,4,2,0.10256410256410256
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,30_60,3,1,4,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,60_90,0,2,2,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,whole_image,13,1,14,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,0_30,3,1,4,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,30_60,7,0,7,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,60_90,3,0,3,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,whole_image,2,1,3,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,0_30,2,1,3,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,30_60,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,whole_image,21,8,29,1,1,2,1,0.06896551724137931
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,0_30,15,6,21,1,1,2,1,0.09523809523809523
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,30_60,6,2,8,0,0,0,0,0.0
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,whole_image,5,1,6,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,0_30,4,0,4,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,30_60,1,1,2,0,0,0,0,0.0
