Gene Symbol,Entrez ID
Klhl34,302703
Klhl7,362303
Klhl8,289457
Klhl9,313348
Klk8,308565
Kpna1,288064
Kpna3,361055
Krt26,407758
Ksr1,360573
L1cam,50687
Lamb1,298941
Large,361368
Larp5,307070
Lars,291624
Las1l,296865
Lcmt1,361643
Lcn2,170496
Ldoc1l,300114
Leprot,56766
Leprotl1,361160
Lhfpl4,353230
Limd2,360646
Limk1,65172
Lin37,292787
Lin7b,60377
Lingo1,315691
Lix1,292381
Lman2l,301343
Lmbr1,362295
Lmo7,361084
Lmod1,304816
Lmtk2,304286
Lnp,362151
Lonrf1,306505
Lpar1,116744
Lpcat4,296048
Lphn1,65096
Lpl,24539
Lppr1,298062
Lppr2,300443
Lppr4,295401
Lppr5,310812
Lrfn2,316205
Lrfn3,308495
Lrig2,310753
Lrp11,292462
Lrp12,314941
Lrp1b,311926
Lrp3,89787
Lrrc3b,305705
Lrrc40,310946
Lrrc41,362566
Lrrc46,287653
Lrrc48,287371
Lrrc4c,311236
Lrrc59,287633
Lrrc63,364427
Lrrc68,308398
Lrrfip2,301035
Lrrk2,300160
Lrrn1,500280
Lrrn2,289020
Lrrn3,81514
LRRTM1,679668
Lrrtm4,500219
Lsg1,288029
Lsm4,290647
Lsm7,362829
Lta4h,299732
Ltk,311337
Luc7l2,312251
Luc7l3,360602
Lum,81682
Lxn,59073
Ly6g6e,406866
Ly6h,300025
Lynx1,300018
Lypd1,360838
Lypla2,83510
Lyzl4,363168
Lztr1,360745
Mad2l1,297176
Madd,94193
Maea,298982
Magee1,317232
Magi1,500261
Mak16,306526
Mal2,362911
Man1b1,499751
Man2b2,360955
Map1a,25152
Map1b,29456
Map1lc3a,362245
Map2,25595
Map2k4,287398
Map3k2,171492
Map7d2,317508
Map9,310544
Mapk11,689314
Mapk1ip1,499280
Mapk1ip1l,361028
Mapk8ip2,315220
Mapkbp1,362197
Mapt,29477
March4,367295
March6,294862
Mark1,117016
Mark2,60328
Mas1,25153
Mast3,688540
Mat2b,683630
Matk,60450
Matr3,29150
Mblac2,365627
Mbp,24547
Mbrl,299608
Mbtps2,302705
Mc4r,25635
Mcfd2,246117
Mcm3ap,294339
Mcoln1,288371
Mcph1,306594
Mcu,294560
Mect1,684527
Med16,299607
Mef2bnb,688966
Metap1,295500
Mettl14,295428
Mettl2,363687
Mettl7a,315306
Mex3c,307271
Mfap1a,499878
Mfap4,287382
Mfsd4,498228
Mgat1,81519
Mgat4b,303100
Mgat4c,299756
Mgat5b,303693
Mgrn1,302938
Mgst3,289197
Mink1,303259
Mios,362324
Mkrn1,296988
Mkrn2,297525
Mlf2,312709
Mlst8,64226
Mmaa,291939
Mmd,303439
Mmd2,304301
Mmp17,288626
Mmp9,81687
Mon1b,307868
Morn4,293950
Mospd3,288557
Mpdz,29365
Mphosph10,293828
Mpi,300741
Mpp2,85275
Mpp3,114202
Mpped2,362185
Mpzl2,300679
Mras,25482
Mreg,501162
Mrfap1,282585
Msl1,303514
Mtch1,294313
Mterfd2,363289
Mtf2,360905
Mtmr1,317296
Mtor,56718
Mtpn,79215
Mtrr,290947
Mum1,362838
Mustn1,290553
Mycbp2,290447
Myl1,56781
Myl6,685867
Myo18a,360570
Myo5b,25132
Myo9b,25486
N4bp2l2,288416
Naa25,360811
Naa35,64472
Naa38,296913
Nae1,84019
Nagk,297393
Nalcn,266760
Nanp,311530
Nap1l1,89825
Nap1l2,317247
Nap1l4,361684
Nap1l5,688843
Napa,140673
Napb,499903
Nat13,288108
Nat5,362228
Nbl1,50594
Nbr1,303554
Ncapd3,315508
Ncaph2,300149
Ncbp1,298075
Nccrp1,292755
Ncdn,89791
Nckap1,58823
Ncoa7,498995
Ncs1,65153
Ncstn,289231
Ndfip1,291609
Ndrg1,299923
Ndrg3,296318
Ndrg4,64457
Ndst1,29633
Ndst3,295430
Ndst4,362035
Ndufa10l1,316632
Ndufb4,288088
Necab1,64169
Necab2,170928
Necab3,311562
Necap1,312694
Nedd4l,291553
Nefl,83613
Nefm,24588
Nek4,306252
Nelf,117536
Nell1,81733
Nell2,81734
Net1,307098
Neto1,307206
Neu1,24591
Neurl4,303248
Neurod6,500137
Nfam1,362966
Nfrkb,315523
Ngdn,305887
Ngef,246217
Ngfrap1,117089
Nicn1,619581
Nip30,307652
Nipa2,308667
Nipal2,362899
Nisch,306255
Nkain3,689576
Nkiras1,305751
Nlgn1,116647
Nlgn2,117096
Nlgn3,171297
Nmd3,310512
Nme7,171566
Nmnat2,289095
Nmt1,259274
Nnat,94270
Nob1,291996
Noc2l,313777
Noc4l,360828
Nol6,313167
Nop14,289724
