"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001764","BP","GO:0001764","neuron migration","21/801","145/10713",0.00253394725734108,0.0863526484022802,0.080115795974018,"Cep85l/Mdga2/Nexmif/Shtn1/Mef2c/Ntrk3/Chl1/Dclk1/Celsr2/AU040320/Lrig2/Pcm1/Adgrl3/Crk/Lrp12/Reln/Abi2/Mapt/Pafah1b1/Ptprz1/Hsp90aa1",21
"GO:0010738","BP","GO:0010738","regulation of protein kinase A signaling","5/801","14/10713",0.00261226162477794,0.086926847125699,0.0806485229792126,"Akap7/Grin2b/Akap6/Nrxn1/Pja2",5
"GO:0072578","BP","GO:0072578","neurotransmitter-gated ion channel clustering","6/801","20/10713",0.0026738335118965,0.0873876045106919,0.0810760019892094,"Frrs1l/Nlgn2/Zdhhc2/Reln/Nlgn1/Nrxn1",6
"GO:1990138","BP","GO:1990138","neuron projection extension","23/801","165/10713",0.00268789874224154,0.0873876045106919,0.0810760019892094,"Shtn1/Flrt1/Ntrk3/Dclk1/Map2/Golga4/Pak1/Macf1/Tnr/L1cam/Rufy3/Plxna4/Ttc3/Sh3gl2/Cyfip2/Mecp2/Sema4d/Bcl11a/Syt1/Map1b/Mapt/Pafah1b1/Hsp90aa1",23
"GO:0048679","BP","GO:0048679","regulation of axon regeneration","8/801","34/10713",0.00298110950392875,0.09232216943131,0.0856541661071075,"Ntrk3/Pum2/Epha4/Lrig2/Tnr/Braf/Inpp5f/Map2k1",8
"GO:0051261","BP","GO:0051261","protein depolymerization","16/801","101/10713",0.00322302346040728,0.0979065922689189,0.0908352519101308,"Mical3/Mical1/Taok1/Map2/Camsap2/Ccsap/Apc/Apc2/Sh3gl2/Mtpn/Synj1/Add2/Sptbn1/Stmn2/Dmtn/Map1b",16
"GO:0097060","CC","GO:0097060","synaptic membrane","64/801","377/10713",3.10221423592456e-10,5.84974197754175e-07,5.42724216853329e-07,"Syt6/Chrm3/Slc6a6/Atad1/Sorcs3/Tenm2/Napb/Gpr158/Ntrk3/Adam23/Slc2a3/Anxa1/Epha4/Cdh9/Rala/Dgkb/Grm5/Gabrb1/Nrxn3/L1cam/Slc1a2/Epha7/Akap9/Pcdh17/Grik5/Cacna2d1/Ppfia2/Dnm3/Nlgn2/Kcnc1/Grin2b/Srgap2/Snph/Cdh8/Grin2a/Cadm3/Cnksr2/Cltc/Gria3/Atp1a3/Scn8a/Adgrl3/Synj1/Kcnma1/Ank3/Cntn1/Clstn2/Iqsec3/Lrrtm1/Mtmr2/Snap91/Exoc3/Dnm1l/Nlgn1/Dlgap1/Nrcam/Syt1/Syt11/Ncam1/Ddn/Clcn3/Nrxn1/Ptprz1/Canx",64
"GO:0098984","CC","GO:0098984","neuron to neuron synapse","64/801","381/10713",4.86704773979261e-10,6.8832222660017e-07,6.38607895542262e-07,"Chrm3/Synpr/Sorcs3/Bcr/Pclo/Dclk1/Crtc1/Map2/Syn2/Epha4/Pak3/Cdh9/Pak1/Macf1/Erc1/Dgkb/Mapk1/Tnr/Grm5/Plxna4/Epha7/Akap9/Grik5/Dnm3/Mal2/Akap7/Sh3gl2/Nefm/Prkar1b/Dst/Grin2b/Srgap2/Grin2a/Cnksr2/Gria3/Atp1a3/Scn8a/Pcbp2/Syn1/Dynll2/Zdhhc2/Clstn2/Iqsec3/Fxr1/Add2/Chmp2b/Sptbn1/Mtmr2/Snap91/Nlgn1/Dlgap1/Map2k1/Kpna1/Nrcam/Syt1/Dmtn/Map1b/Syt11/Ina/Mapt/Nrxn1/Hnrnpa2b1/Ptprz1/Atp1b2",64
"GO:0099572","CC","GO:0099572","postsynaptic specialization","57/801","369/10713",9.59660141933296e-08,4.52399785243055e-05,4.1972504102451e-05,"Chrm3/Sorcs3/Bcr/Pclo/Dclk1/Crtc1/Map2/Syn2/Epha4/Pak3/Pak1/Macf1/Erc1/Dgkb/Mapk1/Grm5/Gabrb1/Erbin/Epha7/Akap9/Grik5/Ppfia2/Dnm3/Nlgn2/Nefm/Dst/Grin2b/Srgap2/Grin2a/Cnksr2/Gria3/Scn8a/Pcbp2/Syn1/Dynll2/Zdhhc2/Clstn2/Iqsec3/Fxr1/Add2/Lrrtm1/Chmp2b/Sptbn1/Mtmr2/Snap91/Nlgn1/Dlgap1/Map2k1/Kpna1/Nrcam/Dmtn/Map1b/Syt11/Ina/Mapt/Hnrnpa2b1/Ptprz1",57
"GO:0098685","CC","GO:0098685","Schaffer collateral - CA1 synapse","27/801","128/10713",6.5384119292962e-07,0.000217575272258992,0.000201860816591151,"Bcr/Syn2/Epha4/Rala/Dgkb/Tnr/Grm5/Gabrb1/L1cam/Eea1/Rock1/Epha7/Sh3gl2/Prkar1b/Myo5a/Prkci/Adgrl3/Syn1/Synj1/Mapk9/Snap91/Syt11/Ncam1/Ina/Ppp3ca/Pafah1b1/Nrxn1",27
"GO:0070382","CC","GO:0070382","exocytic vesicle","35/801","216/10713",1.03004333115008e-05,0.00215813152752444,0.00200225966827067,"Slc17a6/Syt6/Synpr/Sv2b/Rab3c/Clcn4/Slc2a3/Syn2/Dmxl2/Apc/Erc1/Scamp1/Snap29/Ppfia2/Vamp2/Mal2/Akap7/Sh3gl2/Slc6a17/Dpysl3/Grin2b/Myo5a/Grin2a/Cltc/Syn1/Atp6v1a/Rab3ip/Mtmr2/Snap91/Dnm1l/Svop/Syt1/Syt11/Clcn3/Rab6a",35
"GO:0150034","CC","GO:0150034","distal axon","44/801","301/10713",1.22665525858063e-05,0.00234759061853709,0.00217803500535451,"Chrm3/Kif5c/Mical1/Shtn1/Aak1/Prkcb/Pclo/Dclk1/Map2/Epha4/Pak1/Apc/Lrig2/Lmtk2/L1cam/Rufy3/Grik5/Dpysl3/Kcnc1/Grin2b/Cdh8/Grin2a/Gria3/Atp1a3/Kcnma1/Fxr1/Lrrtm1/Snap91/Stmn2/Csnk1e/Trak2/Slc4a10/Ptbp2/Map1b/Syt11/Ncam1/Mapt/Kif5a/Pafah1b1/Clcn3/Nrxn1/Ptprz1/Ptprn/Hsp90aa1",44
"GO:0044306","CC","GO:0044306","neuron projection terminus","26/801","153/10713",6.13941185954937e-05,0.00694613057789416,0.00644444369088698,"Chrm3/Mical1/Aak1/Flrt1/Prkcb/Pclo/Epha4/Apc/L1cam/Slc1a2/Grik5/Vamp2/Kcnc1/Grin2b/Cdh8/Grin2a/Gria3/Atp1a3/Kcnma1/Snap91/Maco1/Slc4a10/Syt1/Syt11/Clcn3/Ptprn",26
"GO:0034706","CC","GO:0034706","sodium channel complex","6/801","12/10713",0.000107079669815379,0.0101431282288533,0.00941053698707009,"Trpm4/Scn3b/Grik5/Unc80/Scn8a/Scn1b",6
"GO:0060076","CC","GO:0060076","excitatory synapse","16/801","81/10713",0.000275119351896186,0.020751335649023,0.0192525626463773,"Slc17a6/Pclo/Plxna4/Nlgn2/Grin2b/Grin2a/Cadm3/Gria3/Scn8a/Synj1/Lrrtm1/Snap91/Nlgn1/Syt1/Syt11/Nrxn1",16
"GO:0030427","CC","GO:0030427","site of polarized growth","27/801","187/10713",0.000699314137204505,0.0396488956933275,0.0367852393265783,"Kif5c/Shtn1/Pclo/Dclk1/Map2/Epha4/Pak1/Apc/Lrig2/Lmtk2/L1cam/Rufy3/Dpysl3/Fxr1/Lrrtm1/Stmn2/Csnk1e/Trak2/Ptbp2/Map1b/Ncam1/Mapt/Kif5a/Pafah1b1/Nrxn1/Ptprz1/Hsp90aa1",27
"GO:0060077","CC","GO:0060077","inhibitory synapse","7/801","25/10713",0.00185311382529296,0.0708315196600156,0.0657156865783124,"Pclo/Nlgn2/Iqsec3/Nlgn1/Syt11/Clcn3/Nrxn1",7
"GO:0043679","CC","GO:0043679","axon terminus","20/801","134/10713",0.00221319677197073,0.0796786939848006,0.0739238704182458,"Chrm3/Mical1/Aak1/Prkcb/Pclo/Epha4/L1cam/Grik5/Kcnc1/Grin2b/Cdh8/Grin2a/Gria3/Atp1a3/Kcnma1/Snap91/Slc4a10/Syt11/Clcn3/Ptprn",20
"GO:0031312","CC","GO:0031312","extrinsic component of organelle membrane","8/801","33/10713",0.00243635930155784,0.0840395400543456,0.0779697527443349,"Syn2/Snx16/Snap29/Cltc/Syn1/Atp6v1a/Snap91/Cadps",8
"GO:0048786","CC","GO:0048786","presynaptic active zone","15/801","91/10713",0.00289274996366123,0.0917363151784847,0.0851106253974907,"Napb/Pclo/Erc1/Gabrb1/Cacna2d1/Ppfia2/Grin2b/Gria3/Scn8a/Syn1/Kcnma1/Snap91/Syt11/Nrxn1/Canx",15
"GO:0005875","CC","GO:0005875","microtubule associated complex","16/801","100/10713",0.00290859465294696,0.0917363151784847,0.0851106253974907,"Kif5c/Shtn1/Map2/Dync1li2/Kif21a/Tpr/Dync1h1/Katnal1/Snx4/Kif1b/Haus2/Dynll2/Map1b/Nudcd3/Kif5a/Pafah1b1",16
"GO:0030315","CC","GO:0030315","T-tubule","10/801","49/10713",0.00291895646670094,0.0917363151784847,0.0851106253974907,"Prkce/Cacna2d1/Akap7/Cltc/Akap6/Ank3/Atp1a2/Cacnb3/Scn1b/Atp1b1",10
"GO:0044309","CC","GO:0044309","neuron spine","24/801","176/10713",0.00294765561401258,0.0921264519804925,0.0854725844226037,"Tenm2/Epha4/Grm5/Prkar2b/Slc1a2/Eea1/Ppfia2/Dnm3/Grin2b/Srgap2/Grin2a/Gria3/Atp1a3/Fxr1/Atp1a2/Mtmr2/Nlgn1/Abi2/Syt11/Ppp3ca/Nedd4/Ptprz1/Canx/Aplp2",24
"GO:0016887","MF","GO:0016887","ATP hydrolysis activity","29/801","193/10713",0.000227495009785484,0.0178741565327289,0.016583188871205,"Atp11c/Abcb1b/Atad5/Kif5c/Pms2/Atad1/Smc2/Macf1/Chd1/Hspa13/Atp13a3/Chd8/Abca5/Afg3l2/Kif21a/Eif4a2/Cct8/Katnal1/Hsp90b1/Msh2/Atp1a3/Kif1b/Bcs1l/Atp1a2/Rfc1/Ide/Kif5a/Hsp90aa1/Nsf",29
"GO:0015081","MF","GO:0015081","sodium ion transmembrane transporter activity","13/801","67/10713",0.00119793078578905,0.0533597988599109,0.0495058673679588,"Slc17a6/Slc6a6/Slc24a2/Scn3b/Slc1a2/Grik5/Atp1a3/Scn8a/Atp1a2/Slc4a10/Scn1b/Atp1b1/Atp1b2",13
"GO:0099507","MF","GO:0099507","ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential","6/801","18/10713",0.001457049287662,0.061055761631881,0.0566459863413858,"Gabrb1/Grik5/Grin2b/Grin2a/Gria3/Kcnma1",6
"GO:0140657","MF","GO:0140657","ATP-dependent activity","43/801","362/10713",0.00160365215493531,0.0647990017176362,0.060118869507575,"Hells/Atp11c/Mcm8/Abcb1b/Acsl1/Atad5/Kif5c/Pms2/Atad1/Smc2/Anxa1/Macf1/Chd1/Hspa13/Helz/Atp13a3/Chd8/Arid1a/Abca5/Afg3l2/Kif21a/Myo5a/Eif4a2/Cct8/Dync1h1/Katnal1/Hsp90b1/Msh2/Atp1a3/Kif1b/Chtf8/Bcs1l/Atp6v1a/Mtrex/Atp1a2/Rfc1/Ide/Kif5a/Atp1b1/Hsp90aa1/Atp1b2/Nsf/Ddx5",43
"GO:0052744","MF","GO:0052744","phosphatidylinositol monophosphate phosphatase activity","5/801","13/10713",0.00178841661064834,0.0703951475697034,0.0653108316259392,"Synj1/Mtmr3/Sacm1l/Mtmr2/Inpp5f",5
"GO:0050839","MF","GO:0050839","cell adhesion molecule binding","24/801","171/10713",0.00200252916211257,0.0740412252945805,0.0686935700192176,"Fgf2/Lamb1/Shtn1/Adam8/Mmp24/Tenm2/Itgav/Cdh9/Tln2/Tnr/L1cam/Cd47/Nfasc/Nlgn2/Dst/Grin2b/Cdh8/Grin2a/Ank3/Cntn1/Nlgn1/Nrcam/Nrxn1/Ptprz1",24
"GO:0017022","MF","GO:0017022","myosin binding","10/801","48/10713",0.00248617018730658,0.0852379681793533,0.0790816239483929,"Vezt/Rab3c/Taok1/Rala/Lmtk2/Vamp2/Trim2/Rab39b/Trak2/Rab6a",10
