"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034755","BP","GO:0034755","iron ion transmembrane transport","7/1394","14/10713",0.000926615308753515,0.0400518127510872,0.0382105186576164,"Steap4/Hfe/Steap1/Steap3/Fxn/Iscu/Trf",7
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","44/1394","213/10713",0.00110004332020204,0.0462542024637335,0.0441277671304823,"Renbp/Casp2/Cast/Ngf/Ctsh/Uaca/Hdac1/Birc5/Tbc1d10a/Itih3/Ccn2/Cst3/Gper1/Pml/Bcl2l11/Timp3/Reck/Cryab/Gpx1/Gsn/Rack1/Rps3/Psmb8/A2m/Cck/Fis1/Cstb/Serping1/Park7/Slc1a1/Mbp/Rps27l/Serpina3n/Prelid1/Furin/Ndufa13/Pebp1/Lxn/Lamtor5/Bax/Rnf7/Cycs/Gapdh/Hmgb1",44
"GO:0097722","BP","GO:0097722","sperm motility","18/1394","65/10713",0.00121939722109456,0.0502523013127261,0.0479420621691076,"Cfap52/Enkur/Cfap69/Nphp4/Catsper2/Zmynd10/Cfap43/Ttc21a/Meig1/Dnai1/Cfap251/Ccdc40/Ropn1l/Eno4/Anxa5/Slirp/Dpcd/Rabl2",18
"GO:0032368","BP","GO:0032368","regulation of lipid transport","21/1394","82/10713",0.00149478572477469,0.0589241843214729,0.0562152744095047,"Abca7/Dbi/Acsl5/Ecrg4/Crhr1/P2rx7/Commd1/Apoe/Bmp6/Fis1/Fabp3/Mif/Atp5pf/Scp2/Prelid1/Furin/Igfbp3/Nfkbia/Sar1b/Lamtor1/Naxe",21
"GO:0032928","BP","GO:0032928","regulation of superoxide anion generation","7/1394","15/10713",0.00154332858931287,0.0596207125658929,0.0568797812982284,"Pon3/Egfr/Cxcl1/Cyba/Il18/Gstp1/Gnai2",7
"GO:0001539","BP","GO:0001539","cilium or flagellum-dependent cell motility","20/1394","77/10713",0.00159358314032325,0.0608020826564074,0.0580068404944174,"Cfap52/Enkur/Cfap69/Nphp4/Ccdc65/Catsper2/Cfap43/Dnai3/Ttc21a/Meig1/Dnai1/Cfap251/Ccdc40/Ropn1l/Eno4/Anxa5/Mkks/Slirp/Dpcd/Rabl2",20
"GO:0060285","BP","GO:0060285","cilium-dependent cell motility","20/1394","77/10713",0.00159358314032325,0.0608020826564074,0.0580068404944174,"Cfap52/Enkur/Cfap69/Nphp4/Ccdc65/Catsper2/Cfap43/Dnai3/Ttc21a/Meig1/Dnai1/Cfap251/Ccdc40/Ropn1l/Eno4/Anxa5/Mkks/Slirp/Dpcd/Rabl2",20
"GO:0051702","BP","GO:0051702","biological process involved in interaction with symbiont","19/1394","72/10713",0.00168923698154292,0.0632798411085867,0.0603706894456361,"Hdac1/Cxcl1/Gpx1/Ccl5/Apoe/Ctdp1/Rab29/Romo1/Zfyve1/Inpp5k/Sap30/Stom/Smarcb1/Cfl1/Cdk9/Psmc3/Ppib/Gapdh/Vapa",19
"GO:1990266","BP","GO:1990266","neutrophil migration","15/1394","52/10713",0.0019533359696538,0.0722968241223363,0.0689731364765245,"Ccl7/Fcer1g/Fcgr3/Slit2/Tlr2/Cxcl1/Tnfaip6/Ccl6/Ccl2/Ccl5/Ppia/Mdk/Selenok/Cxcl10/Ppib",15
"GO:0044782","BP","GO:0044782","cilium organization","51/1394","265/10713",0.00238206431249452,0.0797290847057972,0.0760637152090662,"Dnai4/Odf2l/Cfap69/Poc1b/Dnai2/Cimap3/Wwtr1/Ccdc96/Stk36/Cntrob/Iqub/Mapk15/Ulk4/Ccdc65/Ak7/Zmynd10/Daw1/Stil/Cfap43/Fuz/Dnai3/Ttc21a/Meig1/Dnai1/Ccdc40/Dnajb13/Eno4/Ift22/Tmem250-ps/B9d1/Gsn/Enkd1/Dnaaf5/Bbip1/Foxj1/Mkks/Rab29/Tmem80/Ppp1r35/Cep120/Pierce1/Dynlt2b/Ift43/Dynll1/Nme5/Atg5/Rfx4/Septin6/Rabl2/Dync2li1/Arl3",51
"GO:0006749","BP","GO:0006749","glutathione metabolic process","13/1394","43/10713",0.00242175914920911,0.0797290847057972,0.0760637152090662,"Gpx3/Gstt1/Mgst1/Gpx4/Gpx1/Gstk1/Gstm5/Park7/Slc1a1/Gsta4/Gstm1/Gstp1/G6pdx",13
"GO:0070301","BP","GO:0070301","cellular response to hydrogen peroxide","13/1394","43/10713",0.00242175914920911,0.0797290847057972,0.0760637152090662,"Abl1/Ect2/Rps3/Ezh2/Fxn/Park7/Ripk1/Capn1/Txn1/Cfl1/Apex1/Akr1b1/Rhob",13
"GO:0015908","BP","GO:0015908","fatty acid transport","14/1394","48/10713",0.00243666014847039,0.0797290847057972,0.0760637152090662,"Acsl5/Pla2g5/Fabp5/Abcc1/P2rx7/Apoe/Fabp7/Mfsd2a/Fis1/Fabp3/Mif/Atp5pf/Lypla1/Slc25a17",14
"GO:0045669","BP","GO:0045669","positive regulation of osteoblast differentiation","14/1394","48/10713",0.00243666014847039,0.0797290847057972,0.0760637152090662,"Cthrc1/Wwtr1/Fbxo5/Dnai3/Tent5a/Nppc/Bmp6/Cebpd/Hey1/Cebpb/Pdlim7/Jund/Lmna/Atraid",14
"GO:0032967","BP","GO:0032967","positive regulation of collagen biosynthetic process","7/1394","16/10713",0.00243792218239697,0.0797290847057972,0.0760637152090662,"Ltbp1/Rgcc/Ccn2/Ccl2/Vim/Il18/Prdx5",7
"GO:1905952","BP","GO:1905952","regulation of lipid localization","24/1394","102/10713",0.00249458358828949,0.0811527429432492,0.0774219238869681,"Abca7/Dbi/Acsl5/Ecrg4/Crhr1/P2rx7/Commd1/Apoe/Bmp6/Fis1/Asxl2/Fabp3/C3/Mif/Atp5pf/Scp2/Prelid1/Furin/Igfbp3/Nfkbia/Vstm2a/Sar1b/Lamtor1/Naxe",24
