"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044703","BP","GO:0044703","multi-organism reproductive process","11/376","115/10715",0.0956521739130435,2.72583256244218,3.54833914379788,0.00232615743004685,0.0559489323539394,0.0498006840149833,"Iqub/Adm/Reck/Ropn1l/A2m/Tppp3/Emp2/Nme5/Rsph1/Igfbp5/Bsg",11
"GO:0031643","BP","GO:0031643","positive regulation of myelination","4/376","17/10715",0.235294117647059,6.70525657071339,4.48930197649341,0.00246984279358207,0.057586665920449,0.0512584464496714,"Mag/Zfp488/S100b/Sox10",4
"GO:0036315","BP","GO:0036315","cellular response to sterol","4/376","17/10715",0.235294117647059,6.70525657071339,4.48930197649341,0.00246984279358207,0.057586665920449,0.0512584464496714,"Gramd1c/Lrp6/Insig2/Abca1",4
"GO:0045109","BP","GO:0045109","intermediate filament organization","4/376","17/10715",0.235294117647059,6.70525657071339,4.48930197649341,0.00246984279358207,0.057586665920449,0.0512584464496714,"Tchh/Bfsp2/Vim/Gfap",4
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process","18/376","245/10715",0.073469387755102,2.09368215371255,3.30241237237027,0.00248998936367476,0.057586665920449,0.0512584464496714,"Mag/Trem2/Egln3/Mybl2/Il1b/Birc5/St8sia2/Ucp2/Kdr/Angpt1/Cntf/Ppp2r2b/Apoe/Prnp/Gpi1/Mt1/Clu/Ntrk2",18
"GO:0007368","BP","GO:0007368","determination of left/right symmetry","8/376","68/10715",0.117647058823529,3.3526282853567,3.71128767475571,0.00250611036112921,0.057586665920449,0.0512584464496714,"Stil/Ccdc40/Dnai1/Dnaaf11/Cfap52/Lrp6/Alg5/Dync2li1",8
"GO:0050830","BP","GO:0050830","defense response to Gram-positive bacterium","6/376","40/10715",0.15,4.27460106382979,3.95671644688548,0.00250647896275666,0.057586665920449,0.0512584464496714,"P2rx7/Adm/Il1b/Rarres2/Rnase4/Seh1l",6
"GO:0072526","BP","GO:0072526","pyridine-containing compound catabolic process","9/376","84/10715",0.107142857142857,3.05328647416413,3.60273738411399,0.00264480913480595,0.0602165707585815,0.0535993500973903,"P2rx7/Eno4/Ucp2/Pfkl/Galk1/Gpi1/Eno1/Tpi1/Gapdh",9
"GO:1905818","BP","GO:1905818","regulation of chromosome separation","7/376","54/10715",0.12962962962963,3.69409968479117,3.78479224464466,0.00264702552273539,0.0602165707585815,0.0535993500973903,"Ncapg2/Spdl1/Fbxo5/Birc5/Spc24/Zw10/Cdc16",7
"GO:0042304","BP","GO:0042304","regulation of fatty acid biosynthetic process","5/376","29/10715",0.172413793103448,4.91333455612619,4.02410095642122,0.00306911154718783,0.0664686553802044,0.0591643908868496,"Ceacam1/Il1b/Erlin2/Insig2/Mid1ip1",5
"GO:0034249","BP","GO:0034249","negative regulation of amide metabolic process","4/376","18/10715",0.222222222222222,6.33274231678487,4.31803669949769,0.00308861290223723,0.0664686553802044,0.0591643908868496,"Apoe/Prnp/Clu/Ntrk2",4
"GO:0043116","BP","GO:0043116","negative regulation of vascular permeability","4/376","18/10715",0.222222222222222,6.33274231678487,4.31803669949769,0.00308861290223723,0.0664686553802044,0.0591643908868496,"Adm/Ceacam1/Angpt1/Apoe",4
